"contrast","database","pathway","NES","padj","size"
"Training_Young","GO_BP","positive regulation of adenylate cyclase activity",-1.4947400555965,0.309062983626163,4
"Training_Young","GO_BP","endolysosomal toll-like receptor signaling pathway",-1.49295227177673,0.314234281115774,4
"Training_Young","GO_BP","regulation of synaptic transmission, GABAergic",1.49135083988718,0.209037221901671,3
"Training_Young","GO_BP","synaptic transmission, GABAergic",1.49135083988718,0.209037221901671,3
"Training_Young","GO_BP","heart trabecula morphogenesis",1.4909870346361,0.209037221901671,3
"Training_Young","GO_BP","regulation of sodium ion transport",1.49068039661031,0.4568760257981,15
"Training_Young","GO_BP","epithelial cell apoptotic process",1.49013849828196,0.347753002918291,6
"Training_Young","GO_BP","regulation of epithelial cell apoptotic process",1.49013849828196,0.347753002918291,6
"Training_Young","GO_BP","endothelial cell proliferation",-1.48814364964532,0.364549972319479,16
"Training_Young","GO_BP","cell junction maintenance",1.48756988355622,0.216679225851559,3
"Training_Young","GO_BP","axon development",1.48330192678431,0.347753002918291,43
"Training_Young","GO_BP","positive regulation of vesicle fusion",1.4825273948021,0.223079517331442,3
"Training_Young","GO_BP","response to acid chemical",1.4801104443837,0.479584306047142,20
"Training_Young","GO_BP","response to amino acid",1.47852293929126,0.453389270613108,17
"Training_Young","GO_BP","Golgi organization",1.47846401355713,0.355505657863646,27
"Training_Young","GO_BP","protein K63-linked ubiquitination",-1.47692103706678,0.493647300622092,10
"Training_Young","GO_BP","mitochondrial transport",-1.47613291056876,0.465539563443091,15
"Training_Young","GO_BP","negative regulation of cellular response to growth factor stimulus",-1.47539730491301,0.476047941636269,8
"Training_Young","GO_BP","glycoside metabolic process",1.47524242342486,0.453389270613108,7
"Training_Young","GO_BP","lamellipodium organization",1.4741099328525,0.451950425401425,18
"Training_Young","GO_BP","tight junction organization",1.47213883017206,0.498864152657883,8
"Training_Young","GO_BP","limb morphogenesis",-1.4720355181694,0.4765625,5
"Training_Young","GO_BP","microvillus organization",1.47117101956966,0.24737489770616,3
"Training_Young","GO_BP","regulation of microvillus organization",1.47117101956966,0.24737489770616,3
"Training_Young","GO_BP","regulation of cardiac muscle hypertrophy",1.47116905504892,0.47639549436796,12
"Training_Young","GO_BP","regulation of muscle hypertrophy",1.47116905504892,0.47639549436796,12
"Training_Young","GO_BP","inclusion body assembly",1.47090420220751,0.508099691395661,11
"Training_Young","GO_BP","mast cell activation involved in immune response",1.47061768616214,0.0664878253379751,2
"Training_Young","GO_BP","mast cell mediated immunity",1.47061768616214,0.0664878253379751,2
"Training_Young","GO_BP","mast cell degranulation",1.47061768616214,0.0664878253379751,2
"Training_Young","GO_BP","mast cell activation",1.47061768616214,0.0664878253379751,2
"Training_Young","GO_BP","superoxide anion generation",1.47026138263309,0.4568760257981,6
"Training_Young","GO_BP","phospholipid homeostasis",1.47022268899008,0.252658947557029,3
"Training_Young","GO_BP","blood coagulation, fibrin clot formation",1.46990443741489,0.220675220812216,4
"Training_Young","GO_BP","positive regulation of DNA binding",-1.4681278014532,0.404093547720786,4
"Training_Young","GO_BP","calcium ion transport into cytosol",-1.46758073419171,0.476047941636269,6
"Training_Young","GO_BP","leukotriene metabolic process",-1.46571520386508,0.410596694501601,4
"Training_Young","GO_BP","export across plasma membrane",1.46444899264292,0.498864152657883,8
"Training_Young","GO_BP","retinal metabolic process",1.46347883988179,0.472347904660058,6
"Training_Young","GO_BP","intestinal absorption",1.46340355872848,0.423771926413024,5
"Training_Young","GO_BP","sperm flagellum assembly",-1.46116340893073,0.0450944488410999,2
"Training_Young","GO_BP","cell adhesion mediated by integrin",-1.45826109915845,0.42771188241951,4
"Training_Young","GO_BP","regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion",1.45628616782547,0.526415320486356,13
"Training_Young","GO_BP","astrocyte differentiation",1.45526148654975,0.453389270613108,5
"Training_Young","GO_BP","positive regulation of JNK cascade",-1.45344323933082,0.0800831678703888,2
"Training_Young","GO_BP","modification of synaptic structure",1.45130795134123,0.520289922843114,12
"Training_Young","GO_BP","quinone metabolic process",-1.45018577639663,0.528811830698623,11
"Training_Young","GO_BP","regulation of cellular component size",1.45001519206832,0.289445091962638,54
"Training_Young","GO_BP","response to prostaglandin E",-1.44850330392163,0.102037669578968,2
"Training_Young","GO_BP","regulation of necroptotic process",-1.4469969370305,0.508099691395661,5
"Training_Young","GO_BP","cell redox homeostasis",1.44696072572174,0.486621239820509,18
"Training_Young","GO_BP","T-helper 17 type immune response",1.44619722859723,0.495645246946362,15
"Training_Young","GO_BP","endoderm development",-1.44387461849585,0.508099691395661,7
"Training_Young","GO_BP","triglyceride metabolic process",-1.44336041674641,0.536769327467002,11
"Training_Young","GO_BP","response to starvation",1.44036625030086,0.47639549436796,37
"Training_Young","GO_BP","odontogenesis",-1.44011406430425,0.519298245614035,6
"Training_Young","GO_BP","hair cycle",-1.43883148301793,0.453389270613108,3
"Training_Young","GO_BP","morphogenesis of a polarized epithelium",1.4372268082437,0.519298245614035,7
"Training_Young","GO_BP","mitochondrial outer membrane permeabilization involved in programmed cell death",-1.43709095187731,0.513234005258545,7
"Training_Young","GO_BP","positive regulation of membrane permeability",-1.43709095187731,0.513234005258545,7
"Training_Young","GO_BP","regulation of chromatin organization",-1.43665078618218,0.462998102466793,3
"Training_Young","GO_BP","action potential",1.43606326737272,0.506653364095529,24
"Training_Young","GO_BP","toll-like receptor 9 signaling pathway",-1.43578386261087,0.191271176214711,2
"Training_Young","GO_BP","regulation of toll-like receptor 9 signaling pathway",-1.43578386261087,0.191271176214711,2
"Training_Young","GO_BP","regulation of lipid biosynthetic process",1.43301008139821,0.453409530832335,31
"Training_Young","GO_BP","smooth muscle tissue development",-1.43300997137907,0.199591414180264,2
"Training_Young","GO_BP","regulation of inflammatory response to antigenic stimulus",-1.43291011721095,0.508099691395661,9
"Training_Young","GO_BP","carbohydrate catabolic process",1.43227074757752,0.336372276340377,51
"Training_Young","GO_BP","female gamete generation",1.43209724498778,0.228007945009723,2
"Training_Young","GO_BP","cellular response to xenobiotic stimulus",1.43137508238203,0.502828145306021,25
"Training_Young","GO_BP","melanosome organization",1.4286812626624,0.347078602840023,4
"Training_Young","GO_BP","amyloid-beta metabolic process",1.42622628014629,0.483846980087582,13
"Training_Young","GO_BP","positive regulation of supramolecular fiber organization",1.42588035735225,0.406758489721218,38
"Training_Young","GO_BP","chromosome condensation",-1.42518141582149,0.217750465721888,2
"Training_Young","GO_BP","positive regulation of ossification",-1.42502917924301,0.476047941636269,4
"Training_Young","GO_BP","keratinocyte differentiation",1.4227400795376,0.487075049401137,16
"Training_Young","GO_BP","regulation of microtubule polymerization",1.4225906495542,0.508099691395661,17
"Training_Young","GO_BP","regulation of cytokine-mediated signaling pathway",1.42159335353204,0.535734200743494,15
"Training_Young","GO_BP","chemical synaptic transmission, postsynaptic",1.41949339253853,0.534482129166514,5
"Training_Young","GO_BP","regulation of fatty acid transport",1.41938480172193,0.524145667623384,6
"Training_Young","GO_BP","cerebral cortex radial glia-guided migration",-1.41733040642741,0.479584306047142,4
"Training_Young","GO_BP","T-helper 17 cell differentiation",1.41561911390683,0.545892136812013,14
"Training_Young","GO_BP","cell-matrix adhesion",-1.41430783181334,0.453409530832335,38
"Training_Young","GO_BP","presynaptic endocytosis",1.4140953301616,0.516402116402116,21
"Training_Young","GO_BP","regulation of response to cytokine stimulus",1.41318562425213,0.493726256484522,16
"Training_Young","GO_BP","positive regulation of gluconeogenesis",1.41181357477157,0.47639549436796,4
"Training_Young","GO_BP","glycolytic process",1.40725109014426,0.478329165462382,32
"Training_Young","GO_BP","ADP catabolic process",1.40725109014426,0.478329165462382,32
"Training_Young","GO_BP","positive regulation of purine nucleotide catabolic process",1.40667147006325,0.479584306047142,4
"Training_Young","GO_BP","phosphatidylinositol metabolic process",-1.40664351091586,0.552912456622404,9
"Training_Young","GO_BP","actin filament organization",1.40653699487847,0.291931216550681,96
"Training_Young","GO_BP","diol biosynthetic process",-1.4059558367363,0.568578890489914,6
"Training_Young","GO_BP","negative regulation of DNA replication",1.4056691262273,0.562842405408003,5
"Training_Young","GO_BP","ubiquinone biosynthetic process",-1.40349214233627,0.572075016583248,10
"Training_Young","GO_BP","membrane docking",1.4020406457087,0.545892136812013,19
"Training_Young","GO_BP","muscle cell migration",1.40199495767608,0.573559832006519,11
"Training_Young","GO_BP","microtubule polymerization",1.3994549099959,0.513810725940521,20
"Training_Young","GO_BP","gap junction assembly",-1.39904972941365,0.331534733815322,2
"Training_Young","GO_BP","regulation of natural killer cell mediated cytotoxicity",-1.39856671576089,0.553839340087472,5
"Training_Young","GO_BP","glycogen catabolic process",1.39474448370244,0.597534200304003,11
"Training_Young","GO_BP","platelet dense granule organization",1.3929076129467,0.502828145306021,3
"Training_Young","GO_BP","fatty acid biosynthetic process",1.39261770308875,0.508099691395661,35
"Training_Young","GO_BP","reactive oxygen species biosynthetic process",-1.39260585705984,0.60568569120747,11
"Training_Young","GO_BP","positive regulation of small molecule metabolic process",1.39223384062403,0.498864152657883,34
"Training_Young","GO_BP","cellular response to steroid hormone stimulus",1.39077679350643,0.508099691395661,35
"Training_Young","GO_BP","positive regulation of molecular function",-1.38772048323291,0.472347904660058,53
"Training_Young","GO_BP","regulation of translational fidelity",1.38759976975836,0.598473837209302,8
"Training_Young","GO_BP","membrane repolarization during cardiac muscle cell action potential",1.38729176936153,0.572210279460621,5
"Training_Young","GO_BP","monoatomic anion transmembrane transport",-1.38618828412252,0.59692947784481,10
"Training_Young","GO_BP","positive regulation of myeloid leukocyte cytokine production involved in immune response",1.38602257581987,0.526415320486356,4
"Training_Young","GO_BP","myeloid leukocyte cytokine production",1.38602257581987,0.526415320486356,4
"Training_Young","GO_BP","pyridine-containing compound catabolic process",1.38448595365978,0.465539563443091,33
"Training_Young","GO_BP","negative regulation of epithelial cell differentiation",-1.3842108969328,0.425166498149112,2
"Training_Young","GO_BP","cellular response to virus",1.3824447199434,0.590029761904762,6
"Training_Young","GO_BP","response to fatty acid",1.38107567959863,0.606989927001346,11
"Training_Young","GO_BP","regulation of cell division",1.3800153484262,0.572075016583248,19
"Training_Young","GO_BP","regulation of dopamine metabolic process",1.37951172143281,0.573559832006519,5
"Training_Young","GO_BP","regulation of establishment of cell polarity",1.37950397935498,0.573559832006519,5
"Training_Young","GO_BP","C21-steroid hormone metabolic process",1.37918119508619,0.602915740054361,7
"Training_Young","GO_BP","response to progesterone",-1.37912805986578,0.612433738550583,6
"Training_Young","GO_BP","cellular response to aldehyde",-1.3756018681876,0.599631374155232,10
"Training_Young","GO_BP","negative regulation of axonogenesis",-1.37449064011321,0.462998102466793,2
"Training_Young","GO_BP","regulation of plasma membrane organization",1.3738185259593,0.609667238154614,7
"Training_Young","GO_BP","regulation of DNA damage checkpoint",-1.37376405824386,0.569669956489441,5
"Training_Young","GO_BP","cellular pigmentation",1.37098056366647,0.608012602484694,8
"Training_Young","GO_BP","regulation of lymphocyte migration",1.37020255831769,0.598751524718375,6
"Training_Young","GO_BP","negative regulation of response to wounding",-1.36753609009231,0.613730518840008,11
"Training_Young","GO_BP","positive regulation of myeloid leukocyte mediated immunity",1.36740938500654,0.572075016583248,3
"Training_Young","GO_BP","leukocyte apoptotic process",1.3670807028774,0.572075016583248,4
"Training_Young","GO_BP","regulatory ncRNA processing",-1.36691490681108,0.610615241114153,7
"Training_Young","GO_BP","positive regulation of bone mineralization",-1.36509739207654,0.572075016583248,3
"Training_Young","GO_BP","response to nicotine",-1.36427576616733,0.617693086624321,6
"Training_Young","GO_BP","hematopoietic stem cell proliferation",-1.36303901131313,0.478329165462382,2
"Training_Young","GO_BP","regulation of amyloid precursor protein catabolic process",1.36273408813173,0.62287677957781,12
"Training_Young","GO_BP","regulation of tolerance induction",-1.35910719780599,0.487133984028394,2
"Training_Young","GO_BP","dendritic cell differentiation",-1.35910719780599,0.487133984028394,2
